Region,District,Constituency,Sub County,Parish,village
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,GANGMING,GANGMING SOUTH WEST
KARAMOJA,ABIM,LABWOR COUNTY,LOTUKEI,GANGMING,GANGMING NEW LINE
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,AWACH,ADAG KOLO
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,AWACH,OBANGANGEO
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,AWACH,OBOKOLOTH
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,AWACH,OBOKOLOTH CENTRAL
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,AWACH,ONANGO MOTHO
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,AWACH,PEM KWORO
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,AWACH,OBOKOLOTH EAST
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,AWACH,ADAGKOLO NORTH
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,OPOROTH,ACARAWANG CENTRAL
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,OPOROTH,ACARAWANG EAST
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,OPOROTH,ACARAWANG WEST
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,OPOROTH,AGWENG
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,OPOROTH,ANYALIMA
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,OPOROTH,BAR OTUKE
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,OPOROTH,KOLOLO EAST
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,OPOROTH,KOLOLO NEW  LINE
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,OPOROTH,WIPOLO
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,OPOROTH,AMONICEK
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,OPOROTH,ACARAWANG - SOUTH
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,OPOROTH,ANYALIMA WEST
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,OPOROTH,BARDAGO
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,OPOROTH,BAR-OTUKE CENTRAL
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,OPOROTH,BAR-OTUKE WEST
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,OPOROTH,PAMO
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,GOTAPWOU,ATHEDER SOUTH
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,GOTAPWOU,ATHEDER EAST
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,GOTAPWOU,ATHEDER NORTH
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,GOTAPWOU,ATHEDER WEST
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,GOTAPWOU,GOTAPWOU
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,GOTAPWOU,MAMKAI
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,GOTAPWOU,NATETE
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,GOTAPWOU,ATHEDER CENTRAL
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,GOTAPWOU,GOTAPWOU CENTRAL
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,GOTAPWOU,OMOO CENTRAL
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,GOTAPWOU,OMOO EAST
KARAMOJA,ABIM,LABWOR COUNTY,AWACH,GOTAPWOU,OMOO SOUTH
